player,color,moves,total_sac,file_name
Alekhine,Black,108,13.5,Bogoljubow-Efim-D_vs_Alekhine-Alexander-A_1921.__.__ (1).pgn
Alekhine,White,116,2,Alekhine-Alexander-A_vs_Rico-Antonio_1945.__.__.pgn
Alekhine,Black,88,12,Koltanowski-George_vs_Alekhine-Alexander-A_1936.__.__.pgn
Alekhine,White,63,0,Alekhine-Alexander-A_vs_Guimard-Carlos-E_1938.__.__.pgn
Alekhine,Black,86,2.5,Marco-Georg_vs_Alekhine-Alexander-A_1921.__.__.pgn
Alekhine,White,76,13.5,Alekhine-Alexander-A_vs_Teichmann-Richard_1921.__.__ (2).pgn
Alekhine,Black,104,0,Henneberger-Walter_vs_Alekhine-Alexander-A_1934.__.__.pgn
Alekhine,Black,81,2,Spielmann-Rudolf_vs_Alekhine-Alexander-A_1927.__.__ (1).pgn
Alekhine,Black,66,0,Capablanca-Jose-Raul_vs_Alekhine-Alexander-A_1927.__.__ (7).pgn
Alekhine,Black,75,8.5,Teichmann-Richard_vs_Alekhine-Alexander-A_1921.__.__.pgn
Alekhine,Black,124,2.5,Steiner-Endre_vs_Alekhine-Alexander-A_1921.__.__.pgn
Alekhine,Black,58,5,Lupi-Francesco_vs_Alekhine-Alexander-A_1945.__.__.pgn
Alekhine,White,49,1,Alekhine-Alexander-A_vs_Myaskov-I_1903.__.__.pgn
Alekhine,Black,106,13,Thomas-George-A_vs_Alekhine-Alexander-A_1925.__.__.pgn
Alekhine,Black,80,16,Stoltz-Gosta_vs_Alekhine-Alexander-A_1931.__.__.pgn
Alekhine,Black,58,3.5,Colle-Edgard_vs_Alekhine-Alexander-A_1925.__.__.pgn
Alekhine,White,96,7,Alekhine-Alexander-A_vs_Lochhead_1923.__.__.pgn
Alekhine,White,64,10,Alekhine-Alexander-A_vs_Tackels-A_1922.__.__.pgn
Alekhine,White,72,1,Alekhine-Alexander-A_vs_Colle-Edgard_1931.__.__.pgn
Alekhine,Black,96,10.5,Kevitz-Alexander_vs_Alekhine-Alexander-A_1929.__.__.pgn
Alekhine,Black,68,0,Gruenfeld-Ernst-F_vs_Alekhine-Alexander-A_1922.__.__.pgn
Alekhine,White,73,7,Alekhine-Alexander-A_vs_Stoltz-Gosta_1931.__.__.pgn
Alekhine,Black,50,11,Levitsky-Stepan-M_vs_Alekhine-Alexander-A_1913.__.__.pgn
Alekhine,Black,74,1,Kmoch-Hans_vs_Alekhine-Alexander-A_1927.__.__ (1).pgn
Alekhine,White,21,0,Alekhine-Alexander-A_vs_Prooth_1939.__.__.pgn
Alekhine,White,97,9.5,Alekhine-Alexander-A_vs_Asztalos-Lajos_1927.__.__ (1).pgn
Alekhine,White,73,4.5,Alekhine-Alexander-A_vs_Duz-Hotimirsky-F-I_1911.__.__.pgn
Alekhine,White,60,5,Alekhine-Alexander-A_vs_Lupi-Francesco_1946.__.__.pgn
Alekhine,Black,128,4.5,Spielmann-Rudolf_vs_Alekhine-Alexander-A_1927.__.__.pgn
Alekhine,White,89,12,Alekhine-Alexander-A_vs_Sanz-Javier_1935.__.__.pgn
Alekhine,White,47,13.5,Alekhine-Alexander-A_vs_Capablanca-Jose-Raul_1927.__.__ (10).pgn
Alekhine,White,115,3,Alekhine-Alexander-A_vs_Reti-Richard_1926.__.__.pgn
Alekhine,White,79,14,Alekhine-Alexander-A_vs_Janowski-Dawid-M_1924.__.__.pgn
Alekhine,Black,82,0,Hahn_vs_Alekhine-Alexander-A_1941.__.__.pgn
Alekhine,White,84,12.5,Alekhine-Alexander-A_vs_Lenton-A_1936.__.__.pgn
Alekhine,White,69,1,Alekhine-Alexander-A_vs_Rellstab-Ludwig-Sr_1943.__.__.pgn
Alekhine,Black,76,0,Capablanca-Jose-Raul_vs_Alekhine-Alexander-A_1927.__.__ (14).pgn
Alekhine,White,53,2.5,Alekhine-Alexander-A_vs_Rabar-Braslav_1942.__.__.pgn
Alekhine,Black,92,6,Bergs-Theodor_vs_Alekhine-Alexander-A_1937.__.__.pgn
Alekhine,White,73,0,Alekhine-Alexander-A_vs_Soultanbeieff-Victor_1933.__.__.pgn
Alekhine,Black,72,7,Florian-Jaromir_vs_Alekhine-Alexander-A_1943.__.__.pgn
Alekhine,Black,72,12,Fazekas-Stephan_vs_Alekhine-Alexander-A_1936.__.__.pgn
Alekhine,Black,81,3.5,Euwe-Max_vs_Alekhine-Alexander-A_1927.__.__ (3).pgn
Alekhine,Black,77,0,Mikenas-Vladas-I_vs_Alekhine-Alexander-A_1931.__.__.pgn
Alekhine,Black,132,0,Fine-Reuben_vs_Alekhine-Alexander-A_1936.__.__ (1).pgn
Alekhine,White,45,7.5,Alekhine-Alexander-A_vs_Wap_1925.__.__.pgn
Alekhine,Black,118,1,Castillo-Larenas-Mariano_vs_Alekhine-Alexander-A_1939.__.__.pgn
Alekhine,Black,79,11,Chernyavsky-B_vs_Alekhine-Alexander-A_1903.__.__.pgn
Alekhine,Black,93,0,Euwe-Max_vs_Alekhine-Alexander-A_1935.__.__ (6).pgn
Alekhine,White,100,13.5,Alekhine-Alexander-A_vs_Euwe-Max_1935.__.__ (14).pgn
Alekhine,White,79,3.5,Alekhine-Alexander-A_vs_Tarrasch-Siegbert_1914.__.__ (1).pgn
Alekhine,White,113,5,Alekhine-Alexander-A_vs_Vajda-Arpad_1921.__.__.pgn
Alekhine,Black,69,0,Hein-W-Dr_vs_Alekhine-Alexander-A_1933.__.__.pgn
Alekhine,White,140,1,Alekhine-Alexander-A_vs_Woher-H-A_1925.__.__.pgn
Alekhine,White,41,5,Alekhine-Alexander-A_vs_Bluemich-Max_1926.__.__.pgn
Alekhine,Black,95,10,Capablanca-Jose-Raul_vs_Alekhine-Alexander-A_1927.__.__ (12).pgn
Alekhine,Black,60,7.5,Torres_vs_Alekhine-Alexander-A_1922.__.__.pgn
Alekhine,White,58,7,Alekhine-Alexander-A_vs_Pannekoek-J-H_1933.__.__.pgn
Alekhine,Black,216,7.5,Sultan-Khan-Mir_vs_Alekhine-Alexander-A_1933.__.__.pgn
Alekhine,White,67,9,Alekhine-Alexander-A_vs_Llamas-J_1929.__.__.pgn
Alekhine,White,142,4.5,Alekhine-Alexander-A_vs_Euwe-Max_1927.__.__ (1).pgn
Alekhine,White,61,0,Alekhine-Alexander-A_vs_Euwe-Max_1921.__.__.pgn
Alekhine,White,99,0,Alekhine-Alexander-A_vs_Bogoljubow-Efim-D_1941.__.__.pgn
Alekhine,White,51,0,Alekhine-Alexander-A_vs_Lasker-Emanuel_1934.__.__.pgn
Alekhine,White,45,2.5,Alekhine-Alexander-A_vs_Euwe-Max_1937.__.__ (2).pgn
Alekhine,Black,64,0,Znosko-Borovsky-Eugene_vs_Alekhine-Alexander-A_1922.__.__.pgn
Alekhine,White,170,13,Alekhine-Alexander-A_vs_Duras-Oldrich_1910.__.__.pgn
Alekhine,Black,68,6,Euwe-Max_vs_Alekhine-Alexander-A_1937.__.__ (6).pgn
Alekhine,Black,46,0,Ekenberg-Bengt_vs_Alekhine-Alexander-A_1935.__.__.pgn
Alekhine,White,149,14.5,Alekhine-Alexander-A_vs_Bogoljubow-Efim-D_1934.__.__ (6).pgn
Alekhine,White,77,14.5,Alekhine-Alexander-A_vs_Utkin-P-P_1902.__.__.pgn
Alekhine,White,148,10,Alekhine-Alexander-A_vs_Serge---Silber---Berland_1932.__.__.pgn
Alekhine,White,89,4.5,Alekhine-Alexander-A_vs_Zita-Frantisek_1942.__.__.pgn
Alekhine,Black,36,3.5,Saemisch-Friedrich_vs_Alekhine-Alexander-A_1922.__.__.pgn
Alekhine,Black,65,3.5,Euwe-Max_vs_Alekhine-Alexander-A_1935.__.__ (12).pgn
Alekhine,White,59,1,Alekhine-Alexander-A_vs_Keres-Paul_1937.__.__.pgn
Alekhine,White,91,10,Alekhine-Alexander-A_vs_Mayerhoefer_1930.__.__.pgn
